FileName_OrigDNA,FileName_OrigDen,FileName_OrigPuncta,Group_Index,Group_Number,Metadata_Plate,Metadata_Site,Metadata_Well,Metadata_WellCol,Metadata_WellRow,PathName_OrigDNA,PathName_OrigDen,PathName_OrigPuncta
B - 5(fld 1 wv D360_40X - HQ535_50M).tif,B - 5(fld 1 wv S475_20X - HQ535_50M).tif,B - 5(fld 1 wv HQ620_60X - HQ700_75M).tif,1,1,2009.11.03.00.00.00,1,B5,5,B,Y:\2010_08_06_Synapse_FragileX_AshaBhakar_BearLab_MIT\images\Subfolders\images_10_plates_pipeline2_GluR_symlinks\2009.11.03.00.00.00,Y:\2010_08_06_Synapse_FragileX_AshaBhakar_BearLab_MIT\images\Subfolders\images_10_plates_pipeline2_GluR_symlinks\2009.11.03.00.00.00,Y:\2010_08_06_Synapse_FragileX_AshaBhakar_BearLab_MIT\images\Subfolders\images_10_plates_pipeline2_GluR_symlinks\2009.11.03.00.00.00
B - 5(fld 2 wv D360_40X - HQ535_50M).tif,B - 5(fld 2 wv S475_20X - HQ535_50M).tif,B - 5(fld 2 wv HQ620_60X - HQ700_75M).tif,2,1,2009.11.03.00.00.00,2,B5,5,B,Y:\2010_08_06_Synapse_FragileX_AshaBhakar_BearLab_MIT\images\Subfolders\images_10_plates_pipeline2_GluR_symlinks\2009.11.03.00.00.00,Y:\2010_08_06_Synapse_FragileX_AshaBhakar_BearLab_MIT\images\Subfolders\images_10_plates_pipeline2_GluR_symlinks\2009.11.03.00.00.00,Y:\2010_08_06_Synapse_FragileX_AshaBhakar_BearLab_MIT\images\Subfolders\images_10_plates_pipeline2_GluR_symlinks\2009.11.03.00.00.00
B - 5(fld 3 wv D360_40X - HQ535_50M).tif,B - 5(fld 3 wv S475_20X - HQ535_50M).tif,B - 5(fld 3 wv HQ620_60X - HQ700_75M).tif,3,1,2009.11.03.00.00.00,3,B5,5,B,Y:\2010_08_06_Synapse_FragileX_AshaBhakar_BearLab_MIT\images\Subfolders\images_10_plates_pipeline2_GluR_symlinks\2009.11.03.00.00.00,Y:\2010_08_06_Synapse_FragileX_AshaBhakar_BearLab_MIT\images\Subfolders\images_10_plates_pipeline2_GluR_symlinks\2009.11.03.00.00.00,Y:\2010_08_06_Synapse_FragileX_AshaBhakar_BearLab_MIT\images\Subfolders\images_10_plates_pipeline2_GluR_symlinks\2009.11.03.00.00.00
B - 6(fld 1 wv D360_40X - HQ535_50M).tif,B - 6(fld 1 wv S475_20X - HQ535_50M).tif,B - 6(fld 1 wv HQ620_60X - HQ700_75M).tif,4,1,2009.11.03.00.00.00,1,B6,6,B,Y:\2010_08_06_Synapse_FragileX_AshaBhakar_BearLab_MIT\images\Subfolders\images_10_plates_pipeline2_GluR_symlinks\2009.11.03.00.00.00,Y:\2010_08_06_Synapse_FragileX_AshaBhakar_BearLab_MIT\images\Subfolders\images_10_plates_pipeline2_GluR_symlinks\2009.11.03.00.00.00,Y:\2010_08_06_Synapse_FragileX_AshaBhakar_BearLab_MIT\images\Subfolders\images_10_plates_pipeline2_GluR_symlinks\2009.11.03.00.00.00
B - 6(fld 2 wv D360_40X - HQ535_50M).tif,B - 6(fld 2 wv S475_20X - HQ535_50M).tif,B - 6(fld 2 wv HQ620_60X - HQ700_75M).tif,5,1,2009.11.03.00.00.00,2,B6,6,B,Y:\2010_08_06_Synapse_FragileX_AshaBhakar_BearLab_MIT\images\Subfolders\images_10_plates_pipeline2_GluR_symlinks\2009.11.03.00.00.00,Y:\2010_08_06_Synapse_FragileX_AshaBhakar_BearLab_MIT\images\Subfolders\images_10_plates_pipeline2_GluR_symlinks\2009.11.03.00.00.00,Y:\2010_08_06_Synapse_FragileX_AshaBhakar_BearLab_MIT\images\Subfolders\images_10_plates_pipeline2_GluR_symlinks\2009.11.03.00.00.00
B - 6(fld 3 wv D360_40X - HQ535_50M).tif,B - 6(fld 3 wv S475_20X - HQ535_50M).tif,B - 6(fld 3 wv HQ620_60X - HQ700_75M).tif,6,1,2009.11.03.00.00.00,3,B6,6,B,Y:\2010_08_06_Synapse_FragileX_AshaBhakar_BearLab_MIT\images\Subfolders\images_10_plates_pipeline2_GluR_symlinks\2009.11.03.00.00.00,Y:\2010_08_06_Synapse_FragileX_AshaBhakar_BearLab_MIT\images\Subfolders\images_10_plates_pipeline2_GluR_symlinks\2009.11.03.00.00.00,Y:\2010_08_06_Synapse_FragileX_AshaBhakar_BearLab_MIT\images\Subfolders\images_10_plates_pipeline2_GluR_symlinks\2009.11.03.00.00.00
B - 7(fld 1 wv D360_40X - HQ535_50M).tif,B - 7(fld 1 wv S475_20X - HQ535_50M).tif,B - 7(fld 1 wv HQ620_60X - HQ700_75M).tif,7,1,2009.11.03.00.00.00,1,B7,7,B,Y:\2010_08_06_Synapse_FragileX_AshaBhakar_BearLab_MIT\images\Subfolders\images_10_plates_pipeline2_GluR_symlinks\2009.11.03.00.00.00,Y:\2010_08_06_Synapse_FragileX_AshaBhakar_BearLab_MIT\images\Subfolders\images_10_plates_pipeline2_GluR_symlinks\2009.11.03.00.00.00,Y:\2010_08_06_Synapse_FragileX_AshaBhakar_BearLab_MIT\images\Subfolders\images_10_plates_pipeline2_GluR_symlinks\2009.11.03.00.00.00
B - 7(fld 2 wv D360_40X - HQ535_50M).tif,B - 7(fld 2 wv S475_20X - HQ535_50M).tif,B - 7(fld 2 wv HQ620_60X - HQ700_75M).tif,8,1,2009.11.03.00.00.00,2,B7,7,B,Y:\2010_08_06_Synapse_FragileX_AshaBhakar_BearLab_MIT\images\Subfolders\images_10_plates_pipeline2_GluR_symlinks\2009.11.03.00.00.00,Y:\2010_08_06_Synapse_FragileX_AshaBhakar_BearLab_MIT\images\Subfolders\images_10_plates_pipeline2_GluR_symlinks\2009.11.03.00.00.00,Y:\2010_08_06_Synapse_FragileX_AshaBhakar_BearLab_MIT\images\Subfolders\images_10_plates_pipeline2_GluR_symlinks\2009.11.03.00.00.00
B - 7(fld 3 wv D360_40X - HQ535_50M).tif,B - 7(fld 3 wv S475_20X - HQ535_50M).tif,B - 7(fld 3 wv HQ620_60X - HQ700_75M).tif,9,1,2009.11.03.00.00.00,3,B7,7,B,Y:\2010_08_06_Synapse_FragileX_AshaBhakar_BearLab_MIT\images\Subfolders\images_10_plates_pipeline2_GluR_symlinks\2009.11.03.00.00.00,Y:\2010_08_06_Synapse_FragileX_AshaBhakar_BearLab_MIT\images\Subfolders\images_10_plates_pipeline2_GluR_symlinks\2009.11.03.00.00.00,Y:\2010_08_06_Synapse_FragileX_AshaBhakar_BearLab_MIT\images\Subfolders\images_10_plates_pipeline2_GluR_symlinks\2009.11.03.00.00.00
B - 8(fld 1 wv D360_40X - HQ535_50M).tif,B - 8(fld 1 wv S475_20X - HQ535_50M).tif,B - 8(fld 1 wv HQ620_60X - HQ700_75M).tif,10,1,2009.11.03.00.00.00,1,B8,8,B,Y:\2010_08_06_Synapse_FragileX_AshaBhakar_BearLab_MIT\images\Subfolders\images_10_plates_pipeline2_GluR_symlinks\2009.11.03.00.00.00,Y:\2010_08_06_Synapse_FragileX_AshaBhakar_BearLab_MIT\images\Subfolders\images_10_plates_pipeline2_GluR_symlinks\2009.11.03.00.00.00,Y:\2010_08_06_Synapse_FragileX_AshaBhakar_BearLab_MIT\images\Subfolders\images_10_plates_pipeline2_GluR_symlinks\2009.11.03.00.00.00
