Image_Metadata_Well,Image_Metadata_Plate,Mouse,Plate_Number,Marker,Genotype,DaysIV,Cell_Type,Trt
B5,GlutInternal,8926,1,GluR1,B,14,H,No
B6,GlutInternal,8926,1,GluR2,B,14,H,No
B7,GlutInternal,9218,1,GluR2,A,14,H,No
B8,GlutInternal,9218,1,GluR1,A,14,H,No
C5,GlutInternal,8926,1,GluR1,B,14,H,No
C6,GlutInternal,8926,1,GluR2,B,14,H,No
C7,GlutInternal,9218,1,GluR2,A,14,H,No
C8,GlutInternal,9218,1,GluR1,A,14,H,No
D5,GlutInternal,8926,1,GluR1,B,14,H,No
D6,GlutInternal,8926,1,GluR2,B,14,H,No
D7,GlutInternal,9218,1,GluR2,A,14,H,No
D8,GlutInternal,9218,1,GluR1,A,14,H,No
E5,GlutInternal,8926,1,GluR1,B,14,H,No
E6,GlutInternal,8926,1,GluR2,B,14,H,No
E7,GlutInternal,9218,1,GluR2,A,14,H,No
E8,GlutInternal,9218,1,GluR1,A,14,H,No
F5,GlutInternal,8926,1,GluR1,B,14,H,No
F6,GlutInternal,8926,1,GluR2,B,14,H,No
F7,GlutInternal,9218,1,GluR2,A,14,H,No
F8,GlutInternal,9218,1,GluR1,A,14,H,No
G5,GlutInternal,8926,1,GluR1,B,14,H,No
G6,GlutInternal,8926,1,GluR2,B,14,H,No
G7,GlutInternal,9218,1,GluR2,A,14,H,No
G8,GlutInternal,9218,1,GluR1,A,14,H,No
B2,2010.11.24.15.46.27,8926,1,Spino,B,14,H,No
B3,2010.11.24.15.46.27,8926,1,Syn,B,14,H,No
B4,2010.11.24.15.46.27,8926,1,PSD,B,14,H,No
B9,2010.11.24.15.46.27,9218,1,PSD,A,14,H,No
B10,2010.11.24.15.46.27,9218,1,Syn,A,14,H,No
B11,2010.11.24.15.46.27,9218,1,Spino,A,14,H,No
C2,2010.11.24.15.46.27,8926,1,Spino,B,14,H,No
C3,2010.11.24.15.46.27,8926,1,Syn,B,14,H,No
C4,2010.11.24.15.46.27,8926,1,PSD,B,14,H,No
C9,2010.11.24.15.46.27,9218,1,PSD,A,14,H,No
C10,2010.11.24.15.46.27,9218,1,Syn,A,14,H,No
C11,2010.11.24.15.46.27,9218,1,Spino,A,14,H,No
D2,2010.11.24.15.46.27,8926,1,Spino,B,14,H,No
D3,2010.11.24.15.46.27,8926,1,Syn,B,14,H,No
D4,2010.11.24.15.46.27,8926,1,PSD,B,14,H,No
D9,2010.11.24.15.46.27,9218,1,PSD,A,14,H,No
D10,2010.11.24.15.46.27,9218,1,Syn,A,14,H,No
D11,2010.11.24.15.46.27,9218,1,Spino,A,14,H,No
E2,2010.11.24.15.46.27,8926,1,Spino,B,14,H,No
E3,2010.11.24.15.46.27,8926,1,Syn,B,14,H,No
E4,2010.11.24.15.46.27,8926,1,PSD,B,14,H,No
E9,2010.11.24.15.46.27,9218,1,PSD,A,14,H,No
E10,2010.11.24.15.46.27,9218,1,Syn,A,14,H,No
E11,2010.11.24.15.46.27,9218,1,Spino,A,14,H,No
F2,2010.11.24.15.46.27,8926,1,Spino,B,14,H,No
F3,2010.11.24.15.46.27,8926,1,Syn,B,14,H,No
F4,2010.11.24.15.46.27,8926,1,PSD,B,14,H,No
F9,2010.11.24.15.46.27,9218,1,PSD,A,14,H,No
F10,2010.11.24.15.46.27,9218,1,Syn,A,14,H,No
